,datetime,leader,follower
0,2019-05-12 23:29:00,[],[]
1,2018-09-05 05:15:00,[],[]
2,2016-11-02 13:21:29,[],['AWK']
3,2017-10-24 23:59:46,[],['F']
4,2016-02-22 07:04:17,['NBR'],[]
5,2018-02-01 09:00:03,['XL'],"['AMGN', 'AIV', 'EW', 'GOOGL', 'FBHS', 'V', 'AMZN', 'MSI', 'AAPL', 'GOOG', 'EMN']"
6,2020-01-27 10:43:07,[],[]
7,2018-09-04 17:19:00,[],"['LLY', 'HUM']"
8,2018-11-26 04:39:00,[],['DRI']
9,2018-11-06 03:40:10,[],[]
10,2020-08-06 12:17:08,[],[]
11,2020-06-02 11:16:12,[],"['NLOK', 'WU', 'SYF', 'ANET']"
12,2017-12-13 04:00:03,['VIAB'],"['CMCSA', 'DIS']"
13,2019-06-27 16:48:00,[],[]
14,2018-12-12 09:30:05,[],[]
15,2019-11-27 18:07:00,[],"['ADBE', 'MSFT']"
16,2017-02-19 06:15:00,['GM'],[]
17,2016-09-19 05:40:26,[],[]
18,2016-07-14 04:40:00,[],['GLW']
19,2019-08-08 10:41:00,[],[]
20,2020-02-14 04:40:40,[],['TWTR']
21,2017-12-26 02:26:06,[],"['COST', 'BBY', 'TJX', 'M', 'TGT', 'AAPL', 'WMT']"
22,2016-12-30 02:00:00,['AAPL'],[]
23,2020-10-05 02:00:32,[],['INFO']
24,2019-04-17 13:15:15,['ETFC'],[]
25,2016-12-16 06:25:49,['SLB'],"['ORCL', 'JPM']"
26,2016-02-10 04:32:38,[],[]
27,2016-08-18 20:46:05,[],[]
28,2018-04-26 17:00:00,[],[]
29,2020-08-03 10:38:40,[],['X']
30,2017-12-12 03:23:18,[],[]
31,2020-01-24 15:41:00,[],['NFLX']
32,2018-06-25 22:50:00,[],"['BAC', 'NOC']"
33,2019-09-09 16:09:03,[],[]
34,2017-05-31 07:42:49,[],[]
35,2018-04-27 01:56:00,[],['CE']
36,2019-03-12 05:26:00,['HON'],['UTX']
37,2019-02-12 12:06:31,['TRIP'],['BA']
38,2019-05-08 11:11:05,[],"['ABBV', 'LVS', 'AAPL']"
39,2018-01-26 07:00:00,[],[]
40,2019-08-22 01:15:00,[],['FB']
41,2020-04-09 08:44:00,[],"['MSFT', 'MS']"
42,2020-12-01 17:34:44,[],['TWTR']
43,2020-08-27 10:17:13,['O'],[]
44,2017-01-19 02:15:00,[],"['NSC', 'KSU']"
45,2018-05-10 06:10:00,['ISRG'],['ABMD']
46,2019-09-15 13:00:00,['GIS'],['WMT']
47,2019-12-12 08:45:00,[],"['MO', 'TWX', 'T']"
48,2017-06-28 04:51:41,[],[]
49,2020-02-04 18:33:05,[],[]
50,2020-10-08 09:29:00,[],['AAPL']
51,2019-09-03 13:00:00,[],"['WMT', 'MSCI', 'IVZ', 'SPLS']"
52,2018-10-12 08:19:14,[],"['C', 'WFC']"
53,2020-08-17 12:45:16,[],[]
54,2020-02-06 11:47:19,[],[]
55,2019-04-16 21:57:00,[],['TWTR']
56,2018-01-11 03:26:25,['XL'],"['JPM', 'GS']"
57,2020-06-01 14:59:00,[],['FB']
58,2017-11-20 22:30:00,['DOV'],[]
59,2018-02-01 05:29:00,"['QRVO', 'PYPL', 'NVDA', 'T', 'FB']","['VIAV', 'ORCL', 'RHT', 'RJF', 'GS', 'GOOGL', 'GOOG', 'AMZN', 'AAPL', 'MSFT', 'AVGO', 'QCOM', 'EBAY']"
60,2019-09-25 17:03:00,"['WMT', 'MCD']",[]
61,2018-03-28 21:29:00,[],['SPLS']
62,2017-04-19 12:25:00,['NFLX'],"['GOOGL', 'FB', 'GOOG']"
63,2020-05-12 11:50:13,[],[]
64,2019-01-23 03:25:00,['FTR'],[]
65,2019-03-14 04:21:00,[],"['TAP', 'MO']"
66,2020-12-18 04:51:12,[],['ACN']
67,2019-03-12 04:41:00,[],['MSFT']
68,2020-07-05 21:00:04,[],[]
69,2016-01-29 13:00:02,[],"['QCOM', 'IT']"
70,2020-05-18 08:21:00,['BEN'],['LM']
71,2020-10-22 09:50:24,['IBM'],"['MSFT', 'RHT']"
72,2020-10-17 12:00:00,[],['WAT']
73,2019-03-05 04:30:00,['PM'],"['GIS', 'EL', 'LW', 'SPLS']"
74,2020-12-08 13:22:00,[],[]
75,2019-08-28 12:10:27,[],['FL']
76,2020-12-29 11:51:00,[],['HES']
77,2018-03-01 13:36:25,[],[]
78,2019-02-21 02:22:00,['LUV'],[]
79,2017-03-17 11:30:00,[],[]
80,2018-03-28 08:46:47,[],[]
81,2020-05-20 14:54:25,['CHK'],[]
82,2019-07-30 11:22:54,[],[]
83,2017-10-11 03:44:21,['TROW'],[]
84,2020-06-17 08:55:45,[],[]
85,2018-08-22 06:47:00,[],[]
86,2017-12-07 07:33:00,[],[]
87,2017-10-22 23:00:00,['TSS'],['PYPL']
88,2016-06-06 10:31:11,['BMY'],['BDX']
89,2019-05-02 13:45:19,[],[]
90,2016-11-16 14:38:00,['AAPL'],[]
91,2018-12-27 03:03:04,['HSY'],[]
92,2019-12-16 13:38:55,[],"['DHR', 'IVZ']"
93,2019-01-25 08:42:00,[],"['TWTR', 'AMZN']"
94,2016-02-26 00:11:06,[],[]
95,2018-04-09 08:39:00,[],[]
96,2020-10-02 14:46:57,[],['AMZN']
97,2016-08-25 23:41:05,[],[]
98,2016-05-16 10:24:54,[],[]
99,2020-01-03 10:07:51,['PGR'],[]
100,2016-03-18 11:43:06,['AMZN'],['MSFT']
101,2019-05-17 13:38:23,[],['AAPL']
102,2020-11-05 19:40:16,[],[]
103,2019-08-27 09:50:00,[],[]
104,2016-12-09 09:18:45,[],[]
105,2018-10-09 09:42:21,[],"['PPG', 'CAG', 'SPLS', 'MGM']"
106,2018-06-04 10:05:21,['ALL'],[]
107,2019-07-15 13:10:00,[],"['HPQ', 'HP', 'XOM']"
108,2020-01-13 21:03:16,[],[]
109,2019-07-08 07:51:00,[],"['BA', 'MSCI', 'AAPL', 'MS']"
110,2019-11-06 07:42:27,[],[]
111,2016-02-26 05:19:00,[],[]
112,2019-02-12 04:16:30,[],"['UA', 'AAPL', 'WEC', 'GS', 'UAA', 'MSCI', 'SPLS']"
113,2018-04-20 06:11:00,[],[]
114,2020-05-07 07:04:19,['CBRE'],[]
115,2018-02-07 05:23:19,[],[]
116,2016-03-07 07:50:00,[],"['AMZN', 'WHR', 'XL']"
117,2020-11-24 12:40:21,[],[]
118,2018-08-17 08:38:00,[],['DIS']
119,2018-11-14 04:33:26,['SBUX'],['M']
120,2018-03-07 10:20:09,[],[]
121,2018-10-29 06:31:38,[],[]
122,2018-12-21 10:30:00,['CCL'],[]
123,2018-01-10 03:28:19,[],[]
124,2019-04-23 06:26:00,['VZ'],"['MSFT', 'MSI']"
125,2016-07-27 14:41:00,[],[]
126,2016-10-20 17:45:23,[],[]
127,2019-08-14 07:43:21,[],[]
128,2018-12-13 03:03:00,[],[]
129,2016-10-24 05:30:00,[],"['TWTR', 'FB']"
130,2016-08-08 05:00:03,[],[]
131,2018-07-03 12:34:00,[],['GE']
132,2017-11-22 05:34:00,['COP'],"['HES', 'APC']"
133,2018-11-20 11:30:54,[],['DIS']
134,2017-11-02 04:20:01,[],['MNK']
135,2017-10-16 06:14:34,['EP'],[]
136,2019-07-23 04:55:04,['KMB'],['SPLS']
137,2017-02-15 03:38:15,[],"['AMZN', 'COST', 'WMT', 'HD', 'ULTA', 'WBA']"
138,2016-01-27 04:00:04,[],['OKE']
139,2018-04-26 11:21:00,[],[]
140,2019-08-05 07:06:04,[],[]
141,2016-03-28 05:00:03,[],[]
142,2017-02-17 04:37:00,[],['NKE']
143,2020-04-24 03:45:12,['VZ'],[]
144,2018-06-25 04:55:00,[],['WAT']
145,2019-07-30 14:30:00,[],[]
146,2019-11-21 11:04:51,[],[]
147,2020-11-05 04:32:47,[],[]
148,2016-02-22 05:40:00,['BBY'],"['DLTR', 'FL']"
149,2019-03-08 08:24:00,"['GE', 'MA', 'MSFT']","['ABC', 'EQR', 'EIX', 'D', 'TGT', 'O', 'JWN', 'BFB']"
150,2018-07-13 05:05:00,['EP'],"['BA', 'HON', 'JNPR']"
151,2020-01-16 07:00:00,['ISRG'],[]
152,2020-11-04 08:55:00,[],['AIZ']
153,2020-12-02 08:31:33,['PYPL'],['FB']
154,2017-03-27 09:09:02,[],[]
155,2018-10-16 06:31:30,[],[]
156,2020-04-02 06:07:00,[],[]
157,2017-06-12 10:19:54,['RCL'],"['UA', 'UAA']"
158,2018-06-22 06:23:00,[],[]
159,2020-03-04 08:13:12,[],"['TWTR', 'FB']"
160,2017-06-20 14:05:00,[],"['GOOG', 'GOOGL']"
161,2018-08-30 10:05:00,[],['DIS']
162,2016-02-09 07:29:55,[],[]
163,2017-02-09 08:38:03,['BRKB'],"['MSCI', 'PXD']"
164,2018-11-08 05:40:19,['PHM'],[]
165,2016-06-28 12:25:28,[],[]
166,2017-08-03 08:05:00,[],"['AAPL', 'HRB', 'AET', 'CMI', 'DAL']"
167,2019-01-03 05:15:00,['AAPL'],"['CAT', 'CELG', 'BMY', 'AMD', 'BA', 'SWKS', 'QRVO']"
168,2016-04-24 04:13:02,[],"['SPGI', 'TXT', 'BA']"
169,2016-06-16 13:31:00,"['AAPL', 'GOOG']","['GOOGL', 'AMZN']"
170,2020-07-03 07:06:00,['ROP'],[]
171,2020-04-23 10:51:57,['MNST'],[]
172,2016-02-05 06:42:52,[],[]
173,2018-11-08 07:04:00,[],[]
174,2016-02-10 05:30:00,[],['WLTW']
175,2020-01-13 17:25:02,[],[]
176,2018-07-03 05:33:02,[],[]
177,2019-12-11 17:50:10,['ALL'],[]
