Date,Ticker,Name,Sector
2012-01-01,A,Agilent Technologies Inc,Health Care
2012-01-01,AA,Alcoa Corp,Materials
2012-01-01,AAPL,Apple Inc,Information Technology
2012-01-01,ABC,AmerisourceBergen Corp,Health Care
2012-01-01,ABT,Abbott Laboratories,Health Care
2012-01-01,ACN,Accenture PLC,Information Technology
2012-01-01,ADBE,Adobe Inc,Information Technology
2012-01-01,ADI,Analog Devices Inc,Information Technology
2012-01-01,ADM,Archer-Daniels-Midland Co,Consumer Staples
2012-01-01,ADP,Automatic Data Processing Inc,Information Technology
2012-01-01,ADSK,Autodesk Inc,Information Technology
2012-01-01,AEE,Ameren Corp,Utilities
2012-01-01,AEP,American Electric Power Co Inc,Utilities
2012-01-01,AES,AES Corp/VA,Utilities
2012-01-01,AET,Aetna Inc,Health Care
2012-01-01,AFL,Aflac Inc,Financials
2012-01-01,AGN,Allergan PLC,Health Care
2012-01-01,AIG,American International Group Inc,Financials
2012-01-01,AIV,Apartment Investment & Management Co,Real Estate
2012-01-01,AIZ,Assurant Inc,Financials
2012-01-01,AKAM,Akamai Technologies Inc,Information Technology
2012-01-01,ALL,Allstate Corp/The,Financials
2012-01-01,AMAT,Applied Materials Inc,Information Technology
2012-01-01,AMD,Advanced Micro Devices Inc,Information Technology
2012-01-01,AMGN,Amgen Inc,Health Care
2012-01-01,AMP,Ameriprise Financial Inc,Financials
2012-01-01,AMT,American Tower Corp,Real Estate
2012-01-01,AMZN,Amazon.com Inc,Consumer Discretionary
2012-01-01,AN,AutoNation Inc,Consumer Discretionary
2012-01-01,ANDV,Andeavor,Energy
2012-01-01,ANF,Abercrombie & Fitch Co,Consumer Discretionary
2012-01-01,ANRZQ,Alpha Natural Resources Inc,Energy
2012-01-01,ANTM,Anthem Inc,Health Care
2012-01-01,AON,Aon PLC,Financials
2012-01-01,APA,Apache Corp,Energy
2012-01-01,APC,Anadarko Petroleum Corp,Energy
2012-01-01,APD,Air Products & Chemicals Inc,Materials
2012-01-01,APH,Amphenol Corp,Information Technology
