,Mkt-RF,SMB,HML,RMW,CMA,RF
196307,   -0.39,   -0.45,   -0.94,    0.66,   -1.15,    0.27
196308,    5.07,   -0.82,    1.82,    0.40,   -0.40,    0.25
196309,   -1.57,   -0.48,    0.17,   -0.76,    0.24,    0.27
196310,    2.53,   -1.30,   -0.04,    2.75,   -2.24,    0.29
196311,   -0.85,   -0.85,    1.70,   -0.45,    2.22,    0.27
196312,    1.83,   -1.90,   -0.06,    0.07,   -0.30,    0.29
196401,    2.24,    0.08,    1.53,    0.22,    1.50,    0.30
196402,    1.54,    0.31,    2.86,    0.06,    0.85,    0.26
196403,    1.41,    1.40,    3.37,   -2.01,    2.93,    0.31
196404,    0.10,   -1.50,   -0.66,   -1.35,   -1.08,    0.29
196405,    1.42,   -0.70,    1.99,   -0.26,    0.24,    0.26
196406,    1.27,    0.08,    0.72,   -0.42,    0.14,    0.30
196407,    1.74,    0.52,    0.73,    0.14,    1.84,    0.30
196408,   -1.44,    0.31,    0.07,    0.06,    0.36,    0.28
196409,    2.69,   -0.32,    1.72,   -0.48,    0.58,    0.28
196410,    0.59,    0.88,    1.15,   -0.29,    0.48,    0.29
196411,    0.00,   -0.27,   -1.95,    0.60,   -0.16,    0.29
196412,    0.03,   -0.58,   -2.52,    1.13,   -1.63,    0.31
196501,    3.54,    2.49,    0.16,    0.84,    0.11,    0.28
196502,    0.44,    3.32,    0.16,    0.40,   -0.69,    0.30
196503,   -1.34,    2.04,    1.05,   -0.30,    0.73,    0.36
196504,    3.11,    1.18,    0.68,    0.26,   -2.30,    0.31
196505,   -0.77,    0.06,   -1.63,   -0.38,    0.70,    0.31
196506,   -5.51,   -4.30,    0.56,    0.12,    0.41,    0.35
196507,    1.43,    1.08,    2.18,   -1.41,   -0.02,    0.31
196508,    2.73,    2.71,   -0.96,    2.06,   -0.75,    0.33
196509,    2.86,    0.62,   -0.09,   -0.82,    0.82,    0.31
196510,    2.60,    3.42,    1.54,    1.22,   -0.76,    0.31
196511,   -0.03,    5.19,    0.21,   -1.06,   -0.90,    0.35
196512,    1.01,    2.64,    1.96,   -1.28,   -0.45,    0.33
196601,    0.72,    4.71,    3.51,   -2.83,   -0.07,    0.38
196602,   -1.21,    4.86,    0.27,   -0.15,   -1.44,    0.35
196603,   -2.51,    0.22,   -2.07,    1.30,   -0.01,    0.38
196604,    2.14,    3.36,   -0.54,    0.41,   -0.91,    0.34
196605,   -5.66,   -5.18,   -1.57,    1.66,   -1.52,    0.41
196606,   -1.44,    1.34,    0.50,    0.06,    0.80,    0.38
196607,   -1.63,   -0.50,    0.99,   -0.45,    1.77,    0.35
196608,   -7.91,   -3.02,    0.44,    0.05,    0.77,    0.41
196609,   -1.06,   -1.18,    0.49,   -1.65,    2.50,    0.40
196610,    3.86,   -6.52,    2.86,   -3.64,    4.28,    0.45
196611,    1.40,    3.37,   -4.53,    4.17,   -6.53,    0.40
196612,    0.13,    1.94,   -1.28,    0.68,   -0.13,    0.40
196701,    8.15,    8.97,    2.45,    0.62,   -2.97,    0.43
196702,    0.78,    3.02,   -2.15,    1.94,   -0.94,    0.36
196703,    3.99,    1.87,    0.46,    0.90,   -1.51,    0.39
196704,    3.89,    0.46,   -2.52,    2.43,   -3.75,    0.32
196705,   -4.33,    2.36,    0.99,   -1.75,    1.61,    0.33
